喜剧之王,1999 中国香港 喜剧 剧情 爱情,1029179
春光乍泄,1997 中国香港 日本 韩国 剧情 爱情 同性,672273
海豚湾,2009 美国 纪录片,370627
致命ID,2003 美国 剧情 悬疑 惊悚,888141
杀人回忆,2003 韩国 剧情 动作 犯罪 悬疑 惊悚,777247
美国往事,1984 美国 意大利 犯罪 剧情,443254
哈利·波特与密室,2002 英国 美国 奇幻 冒险,836227
一一,2000 中国台湾 日本 剧情 爱情 家庭,444547
红辣椒,2006 日本 动画 悬疑 科幻 惊悚,519602
加勒比海盗,2003 美国 动作 冒险 奇幻,914113
七宗罪,1995 美国 剧情 犯罪 悬疑 惊悚,997977
唐伯虎点秋香,1993 中国香港 喜剧 爱情 古装,1152260
狩猎,2012 丹麦 瑞典 剧情,428722
7号房的礼物,2013 韩国 剧情 喜剧 家庭,590611
蝙蝠侠：黑暗骑士崛起,2012 美国 英国 剧情 动作 科幻 犯罪 惊悚,769084
甜蜜蜜,1996 中国香港 剧情 爱情,616945
被嫌弃的松子的一生,2006 日本 剧情 歌舞,740269
爱在黎明破晓前,1995 美国 奥地利 瑞士 剧情 爱情,741094
超能陆战队,2014 美国 喜剧 动作 科幻 动画 冒险,1081139
第六感,1999 美国 剧情 悬疑 惊悚,597106
寄生虫,2019 韩国 剧情,1460380
重庆森林,1994 中国香港 剧情 爱情,868379
入殓师,2008 日本 剧情,709323
请以你的名字呼唤我,2017 意大利 法国 巴西 美国 剧情 爱情 同性,776249
爱在日落黄昏时,2004 美国 法国 剧情 爱情,607816
幽灵公主,1997 日本 动画 奇幻 冒险,560477
剪刀手爱德华,1990 美国 剧情 爱情 奇幻,1080377
断背山,2005 美国 加拿大 剧情 爱情 同性 家庭,744099
勇敢的心,1995 美国 动作 传记 剧情 历史 战争,582371
菊次郎的夏天,1999 日本 剧情 喜剧,637453
借东西的小人阿莉埃蒂,2010 日本 动画 奇幻 冒险,592377
未麻的部屋,1997 日本 剧情 犯罪 动画 悬疑 惊悚,385399
消失的爱人,2014 美国 剧情 犯罪 悬疑 惊悚,1019041
无人知晓,2004 日本 剧情,349325
时空恋旅人,2013 英国 美国 喜剧 爱情 奇幻,732791
哈利·波特与火焰杯,2005 英国 美国 悬疑 奇幻 冒险,723473
倩女幽魂,1987 中国香港 爱情 奇幻 武侠 古装,778969
完美的世界,1993 美国 剧情 犯罪,339120
阳光灿烂的日子,1994 中国大陆 中国香港 剧情 爱情,654270
茶馆,1982(中国大陆) 中国大陆 剧情 历史,177848
小森林 夏秋篇,2014 日本 剧情,450075
天使爱美丽,2001 法国 德国 剧情 喜剧 爱情,988643
侧耳倾听,1995 日本 剧情 爱情 动画,494827
驯龙高手,2010 美国 动画 奇幻 冒险,804838
新世界,2013 韩国 剧情 犯罪,486155
教父3,1990 美国 剧情 犯罪,403408
头脑特工队,2015 美国 喜剧 动画 冒险,718436
怪兽电力公司,2001 美国 儿童 喜剧 动画 奇幻 冒险,723318
幸福终点站,2004 美国 喜剧 剧情 爱情,607695
一个叫欧维的男人决定去死,2015 瑞典 剧情,523975
傲慢与偏见,2005 法国 英国 美国 剧情 爱情,861648
玩具总动员3,2010 美国 喜剧 动画 奇幻 冒险,555714
小森林 冬春篇,2015 日本 剧情,400192
色，戒,2007 中国台湾 中国大陆 美国 中国香港 剧情 爱情 情色,889685
被解救的姜戈,2012 美国 剧情 动作 西部 冒险,650662
釜山行,2016 韩国 动作 惊悚 灾难,1275435
神偷奶爸,2010 美国 法国 喜剧 动画 冒险,999467
萤火之森,2011 日本 剧情 爱情 动画 奇幻,576490
九品芝麻官,1994 中国香港 中国大陆 剧情 喜剧 古装,738240
哪吒闹海,1979 中国大陆 冒险 动画 奇幻,278839
告白,2010 日本 剧情 悬疑,707011
喜宴,1993 中国台湾 美国 剧情 喜剧 爱情 同性 家庭,396434
玛丽和马克思,2009 澳大利亚 美国 剧情 喜剧 动画,439166
模仿游戏,2014 英国 美国 剧情 传记 战争 同性,688031
花样年华,2000 中国香港 剧情 爱情,659794
头号玩家,2018 美国 动作 科幻 冒险,1440919
大鱼,2003 美国 剧情 爱情 奇幻 冒险,598447
射雕英雄传之东成西就,1993 中国香港 喜剧 奇幻 武侠 古装,678980
七武士,1954 日本 动作 冒险 剧情,214407
惊魂记,1960 美国 悬疑 惊悚 恐怖,326718
我是山姆,2001 美国 剧情 家庭,358027
血战钢锯岭,2016 澳大利亚 美国 剧情 传记 历史 战争,820768
阳光姐妹淘,2011 韩国 剧情 喜剧,613250
恐怖直播,2013 韩国 剧情 犯罪 悬疑,693433
你的名字。,2016 日本 剧情 爱情 动画,1509727
黑客帝国3：矩阵革命,2003 美国 动作 科幻,472463
三块广告牌,2017 英国 美国 剧情 犯罪,872380
心迷宫,2014 中国大陆 剧情 犯罪 悬疑,571996
电锯惊魂,2004 美国 悬疑 惊悚 恐怖,574136
达拉斯买家俱乐部,2013 美国 剧情 传记 同性,480742
小丑,2019 美国 加拿大 剧情 犯罪 惊悚,1075084
疯狂原始人,2013 美国 喜剧 动画 冒险,881630
谍影重重3,2007 美国 德国 法国 英国 动作 悬疑 惊悚,444045
心灵奇旅,2020 美国 动画 奇幻 音乐,1060166
背靠背，脸对脸,1994 中国大陆 中国香港 剧情,156631
上帝之城,2002 巴西 法国 犯罪 剧情,317829
绿里奇迹,1999 美国 犯罪 剧情 奇幻 悬疑,361023
爱在午夜降临前,2013 美国 希腊 剧情 爱情,438648
海街日记,2015 日本 剧情 家庭,486409
英雄本色,1986 中国香港 剧情 动作 犯罪,574851
风之谷,1984 日本 动画 奇幻 冒险,375264
无间道2,2003 中国香港 剧情 犯罪 惊悚,525133
疯狂的石头,2006 中国大陆 中国香港 喜剧 犯罪,876579
纵横四海,1991 中国香港 剧情 喜剧 动作 犯罪,451991
2001太空漫游,1968 英国 美国 科幻 惊悚 冒险,363710
雨中曲,1952 美国 喜剧 歌舞 爱情,247369
卢旺达饭店,2004 英国 南非 意大利 美国 剧情 传记 历史 战争,350081
记忆碎片,2000 美国 犯罪 剧情 悬疑 惊悚,637890
小偷家族,2018 日本 剧情 犯罪 家庭,858308
无敌破坏王,2012 美国 喜剧 动画 奇幻 冒险,578250
岁月神偷,2010 中国香港 中国大陆 剧情 家庭,595010
冰川时代,2002 美国 喜剧 动画 冒险,652518
荒蛮故事,2014 阿根廷 西班牙 剧情 喜剧 犯罪,471029
牯岭街少年杀人事件,1991 中国台湾 剧情 犯罪,335391
忠犬八公物语,1987 日本 剧情,207627
恐怖游轮,2009 英国 澳大利亚 剧情 悬疑 惊悚,930636
爆裂鼓手,2014 美国 剧情 音乐,629003
东京教父,2003 日本 剧情 喜剧 动画,260212
魔女宅急便,1989 日本 动画 奇幻 冒险,494174
大佛普拉斯,2017 中国台湾 剧情 喜剧,512284
末路狂花,1991 美国 英国 法国 犯罪 剧情 惊悚,299710
遗愿清单,2007 美国 冒险 喜剧 剧情,500448
贫民窟的百万富翁,2008 英国 剧情 爱情,779079
东邪西毒,1994 中国香港 中国台湾 剧情 动作 爱情 武侠 古装,605802
你看起来好像很好吃,2010 日本 剧情 动画 儿童,353584
源代码,2011 美国 加拿大 科幻 悬疑 惊悚,881283
可可西里,2004 中国大陆 中国香港 剧情 犯罪,324830
疯狂的麦克斯4：狂暴之路,2015 澳大利亚 美国 动作 科幻 冒险,583267
城市之光,1931 美国 喜剧 剧情 爱情,159549
海边的曼彻斯特,2016 美国 剧情 家庭,600994
高山下的花环,1984(中国大陆)  1985 中国大陆 剧情 战争,123087
黑天鹅,2010 美国 剧情 惊悚,814109
波西米亚狂想曲,2018 英国 美国 剧情 传记 同性 音乐,651194
芙蓉镇,1987 中国大陆 剧情 爱情,163618
真爱至上,2003 英国 美国 法国 喜剧 剧情 爱情,770826
爱乐之城,2016 美国 剧情 爱情 歌舞,1017769
青蛇,1993 中国香港 中国大陆 剧情 爱情 奇幻 古装,559183
雨人,1988 美国 剧情,424851
初恋这件小事,2010 泰国 剧情 喜剧 爱情,1016738
终结者2：审判日,1991 美国 法国 动作 科幻,362363
花束般的恋爱,2021 日本 剧情 爱情,725533
人工智能,2001 美国 英国 剧情 科幻,475214
虎口脱险,1966 法国 英国 喜剧 战争,276780
无耻混蛋,2009 德国 美国 剧情 犯罪,516494
恋恋笔记本,2004 美国 剧情 爱情,713498
新龙门客栈,1992 中国香港 中国大陆 动作 爱情 武侠 古装,474947
罗生门,1950 日本 剧情 犯罪 悬疑,336963
崖上的波妞,2008 日本 动画 奇幻 冒险,537756
白日梦想家,2013 美国 英国 剧情 喜剧 冒险,568752
哈利·波特与死亡圣器(上),2010 英国 美国 奇幻 冒险,630717
千钧一发,1997 美国 剧情 科幻 惊悚,324844
彗星来的那一夜,2013 美国 英国 科幻 悬疑 惊悚,635186
萤火虫之墓,1988 日本 动画 剧情 战争,422748
黑客帝国2：重装上阵,2003 美国 动作 科幻,430794
大红灯笼高高挂,1991 中国大陆 中国香港 中国台湾 剧情,325157
火星救援,2015 英国 美国 匈牙利 约旦 剧情 科幻 冒险,783815
奇迹男孩,2017 美国 中国香港 剧情 儿童 家庭,576957
二十二,2015 中国大陆 纪录片,303752
哈利·波特与凤凰社,2007 英国 美国 奇幻 冒险,627083
战争之王,2005 美国 德国 剧情 犯罪,393103
血钻,2006 美国 德国 英国 剧情 惊悚 冒险,402622
步履不停,2008 日本 剧情 家庭,301892
千年女优,2001 日本 动画 剧情 爱情,295203
谍影重重2,2004 美国 德国 动作 悬疑 惊悚,375671
房间,2015 爱尔兰 加拿大 英国 美国 剧情 家庭,385601
魂断蓝桥,1940 美国 剧情 爱情 战争,295351
蜘蛛侠：平行宇宙,2018 美国 动作 科幻 动画 冒险,714610
弱点,2009 美国 剧情 家庭 传记 运动,335352
谍影重重,2002 美国 德国 捷克 动作 悬疑 惊悚,457105
朗读者,2008 美国 德国 剧情 爱情,472296
隐藏人物,2016 美国 剧情 传记 历史,242974
阿飞正传,1990 中国香港 犯罪 剧情 爱情,542383
冰雪奇缘,2013 美国 喜剧 动画 奇幻 歌舞,752201
