电影排名,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDB,摘要,评分,投票,5星,4星,3星,2星,1星
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.32,指环王3：王者无敌 The Lord of the Rings: The Return of the King,彼得·杰克逊,弗兰·威尔士、菲利帕·鲍恩斯、彼得·杰克逊、J.R.R.托尔金,伊利亚·伍德、西恩·奥斯汀、维果·莫腾森、奥兰多·布鲁姆、伊恩·麦克莱恩、肖恩·宾、多米尼克·莫纳汉、丽芙·泰勒、约翰·贝西、凯特·布兰切特、比利·博伊德、萨德文·布罗菲、阿利斯泰尔·布朗宁、马尔顿·索克斯、伯纳德·希尔、伊安·霍姆、布鲁斯·霍普金斯、伊恩·休斯、劳伦斯·马克奥雷、诺埃尔·阿普利比、布雷特·麦肯齐、Alexandra Astin、Sarah McLeod、Maisy McLeod-Riera、约翰·诺贝尔、Paul Norell、米兰达·奥图、布鲁斯·菲利普斯、沙恩·朗吉、约翰·瑞斯-戴维斯、托德·里彭、安迪·瑟金斯、Harry Sinclair、乔尔·托贝克、卡尔·厄本、史蒂芬·乌瑞、雨果·维文、大卫·文翰、阿兰·霍华德、萨拉·贝克、Robert Pollock、佩特·史密斯、杰德·布罗菲、菲利普·格里夫、布拉德·道里夫、克里斯托弗·李、布鲁斯·斯宾斯、吉诺·阿赛维多、Jarl Benzon、Jørn Benzon、Robert Catto、Michael Elsworth、彼得·杰克逊、Sandro Kopp、安德鲁·莱斯尼、约瑟夫·米卡-亨特、亨利·莫腾森、克雷格·帕克、克里斯蒂安·瑞沃斯、迈克尔·斯曼内科 、霍华德·肖、约翰·斯蒂芬森、理查德·泰勒,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　魔幻战争逐渐进入高潮阶段。霍比特人佛罗多（伊利亚·伍德 Elijah Wood 饰）携带着魔戒，与伙伴山姆（西恩·奥斯汀 Sean Astin 饰）以及狡猾阴暗的咕噜等前往末日山，一路上艰难险阻不断，魔君索伦为阻止魔戒被销毁用尽全力阻挠。另一方面，白袍巫师甘道夫（伊恩·麦克莱恩 Ian McKellen 饰）率中土勇士们镇守刚铎首都——白城米那斯提里斯。魔兽大军压境，黑暗与光明的决战即将来临……
                                    
                                　　本片是“指环王三部曲”的终结篇，根据英国作家J.R.R.托尔金（J.R.R. Tolkien）同名魔幻巨著《指环王》（The Lord of the Rings）改编，并荣获2004年第76届奥斯卡最佳影片、最佳导演、最佳改编剧本、最佳剪辑、最佳艺术指导、最佳服装设计、最佳化妆、最佳视觉效果、最佳音效、最佳配乐和最佳歌曲等11项大奖。
                        ",9.3,856526,71.0%,23.5%,5.0%,0.4%,0.2%
No.33,我不是药神,文牧野,韩家女、钟伟、文牧野,徐峥、王传君、周一围、谭卓、章宇、杨新鸣、王佳佳、王砚辉、贾弘逍、龚蓓苾、宁浩、李乃文、岳小军、苇青、富冠铭、巴拉特·巴蒂、喜利图、张海艳、朱耕佑,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇 饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围 饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉 饰）和瑞士正牌医药代表（李乃文 饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。
                                    
                                　　本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。
                        ",9.0,2228631,58.8%,33.7%,6.8%,0.5%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.35,飞屋环游记 Up,彼特·道格特、鲍勃·彼德森,彼特·道格特、鲍勃·彼德森、汤姆·麦卡锡,爱德华·阿斯纳、克里斯托弗·普卢默、乔丹·长井、鲍勃·彼德森、德尔罗伊·林多、杰罗姆·兰福特、约翰·拉森贝格、大卫·卡耶、艾丽·道克特、杰里米·利里、米凯·麦高万、丹尼·曼恩、唐纳德·富利洛夫、杰斯·哈梅尔、乔什·库雷、彼特·道格特,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.1,1410154,61.2%,32.2%,6.2%,0.3%,0.1%
No.36,素媛 소원,李濬益,金智慧、曹重勋、金成旭,薛景求、严志媛、李来、金海淑、金相镐、罗美兰、杨真诚、权泰元,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　她（李来 饰）是一个美丽平凡的小女孩，和爸爸妈妈生活在位于街角的家中。家里经营着以她的名字素媛命名的杂货店，母亲（严智媛 饰）作为老板娘日夜忙碌不得闲暇，父亲则在工厂干着繁重的工作。在那个飘雨的早上，素媛打着雨伞独自上学。在离学校近在咫尺的地方，她遭遇一个相貌猥琐、酒气冲天的大叔，由此开启了她的悲剧之旅。柔嫩的小花遭到暴风雨无情摧残，受伤的岂止枝枝叶叶，更是那迎着阳光无忧成长的心。无良媒体铺天盖地大肆渲染，作为受害者的素媛一家仿佛成了周身污秽的耻辱之人，被四周诧异好奇的目光所包围。
                                    
                                　　妈妈悲痛欲绝，几近崩溃。爸爸全力保护女儿，但受伤的小天使却拒绝爸爸的靠近。问凶之路伴随着天使的治愈旅程，美丽的女孩可会再露灿烂笑容？
                        ",9.3,732649,69.6%,26.4%,3.7%,0.2%,0.1%
No.37,哈尔的移动城堡 ハウルの動く城,宫崎骏,宫崎骏,倍赏千惠子、木村拓哉、美轮明宏、我修院达也、神木隆之介、伊崎充则、大泉洋、大塚明夫、原田大二郎、加藤治子、都筑香弥子,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　继母因无力负担生活，将苏菲和她的两个妹妹都送到了制帽店去当学徒。两个妹妹很快先后就离开了制帽店去追寻各自的梦想，只有苏菲坚持了下来。一天，小镇旁边来了一座移动堡垒，传说堡垒的主人哈尔专吸取年青姑娘的灵魂，所以小镇的姑娘都不敢靠近。
                                    
                                　　一个恶毒的巫婆为了报复苏菲与哈尔见面，用巫术把她变成了一个80岁的老太婆，而且苏菲还不能对别人说出自己身中的巫术。无奈，苏菲决定独自一人逃离小镇。天黑了，虚弱的苏菲没走多远，来到了移动城堡。心想自己已经是老太婆了，苏菲壮着胆子走进了城堡。不想，遇到了和她遭遇相同的火焰魔。两人约定彼此帮助对方打破各自的咒语……
                        ",9.1,1183611,63.8%,29.1%,6.4%,0.5%,0.2%
No.38,让子弹飞,姜文,朱苏进、述平、姜文、郭俊立、危笑、李不空、马识途,姜文、葛优、周润发、刘嘉玲、陈坤、张默、姜武、周韵、廖凡、姚橹、邵兵、苗圃、冯小刚、胡军、马珂、白冰、杜奕衡、李静、胡明、危笑、杨奇雨、赵铭,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　民国年间，花钱捐得县长的马邦德（葛优 饰）携妻（刘嘉玲 饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文 饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤 师爷。为汤师爷许下的财富所动，张麻子摇身一变化身县长，带着手下赶赴鹅城上任。有道是天高皇帝远，鹅城地处偏僻，一方霸主黄四郎（周润发 饰）只手遮天，全然不将这个新来的县长放在眼里。张麻子痛打了黄的武教头（姜武 饰），黄则设计害死张的义子小六（张默 饰）。原本只想赚钱的马邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。鹅城上空愁云密布，血雨腥风在所难免……
                                    
                                　　本片根据马识途的小说《夜谭十记》中的《盗官记》一章改编。
                        ",9.0,1808839,60.7%,30.7%,7.7%,0.7%,0.3%
No.39,十二怒汉 12 Angry Men,西德尼·吕美特,雷金纳德·罗斯,亨利·方达、马丁·鲍尔萨姆、约翰·菲德勒、李·科布、E.G.马绍尔、杰克·克卢格曼、爱德华·宾斯、杰克·沃登、约瑟夫·史威尼、埃德·贝格利、乔治·沃斯科维奇、罗伯特·韦伯,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　一个在贫民窟长大的18岁少年因为涉嫌杀害自己的父亲被告上法庭，证人言之凿凿，各方面的证据都对他极为不利。十二个不同职业的人组成了这个案件的陪审团，他们要在休息室达成一致的意见，裁定少年是否有罪，如果罪名成立，少年将会被判处死刑。
                                    
                                　　十二个陪审团成员各有不同，除了8号陪审员（H enry Fonda 饰）之外，其他人对这个犯罪事实如此清晰的案子不屑一顾，还没有开始讨论就认定了少年有罪。8号陪审员提出了自己的“合理疑点”，耐心地说服其他的陪审员，在这个过程中，他们每个人不同的人生观也在冲突和较量……
                        ",9.4,535431,76.0%,20.7%,3.0%,0.2%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.41,海蒂和爷爷 Heidi,阿兰·葛斯彭纳,约翰娜·斯比丽、佩特拉·比翁迪娜·沃尔普,阿努克·斯特芬、布鲁诺·冈茨、昆林·艾格匹、安娜·申茨、伊莎贝尔·奥特曼、莉莲·奈福、彼得·杰克林、克里斯托夫·高格勒、丽贝卡·因德穆、莫妮卡·古布瑟、阿瑟·比勒、玛丽埃塔·耶米、彼得·洛迈尔、卡塔琳娜·舒特勒、耶拉·哈泽、迈克尔·克兰茨、劳拉·帕克、马库斯·赫林、马克西姆·梅米特、汉娜洛蕾·赫格,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　孤儿海蒂（阿努克·斯特芬 饰）被姨母迪蒂（安娜·希恩斯 饰）送上了阿尔卑斯山，与远离小镇独居于高山的祖父（布鲁诺·甘茨 饰）一同生活。活泼的海蒂在这里如鱼得水，不仅收获了羊倌彼得（奎林·阿格里皮 饰）的友情和孤僻祖父的亲情，还与山下彼得的家人打成一片。一天，海蒂同彼得在山上放羊，姨母突然出现，连哄带骗将海蒂卖到法兰克福的泽塞曼家。从此，目不识丁的海蒂成为了小姐克拉拉（伊莎贝尔·奥特曼 饰）的伴读。克拉拉幼年丧母，大病一场再不能站立，只能被困在豪宅中与轮椅相伴。父亲（马克西姆·梅米特 饰）常年在外很少回家，寂寞的克拉拉把海蒂当成了救命稻草。海蒂能适应泽塞曼家的新生活吗？远在天边的祖父和彼得还能再见吗？克拉拉的腿还有好起来的希望吗？
                        ",9.3,697180,69.8%,25.4%,4.4%,0.3%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.44,天空之城 天空の城ラピュタ,宫崎骏,宫崎骏,田中真弓、横泽启子、初井言荣、寺田农、常田富士男、永井一郎、糸博、鹫尾真知子、神山卓三、安原义人、槐柳二、鳕子,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　古老帝国拉普达是一座漂浮在空中的巨大的机器岛，传说那里已经无人居住，蕴藏着巨大的财富。因此，无论军方还是海盗，都在找寻着这座传说中的飞行岛。
                                    
                                　　矿工巴鲁这天偶遇拉普达继承人希达，两人一见如故。因为希达身上有找寻拉普达帝国的重要物件飞行石，军方和海盗两帮人马都在追杀希达。巴鲁带着希达一起逃亡，最终都没有逃出军方的手中，希达被军队掳走了。
                                    
                                　　为救朋友，只能选择与海盗合作。巴鲁与海盗成功救出了希达，同时，他们也发现了军方的邪恶计划。为了阻止军方邪恶计划的实施，他们和海盗一起踏上了寻找拉普达之旅。
                        ",9.2,947181,64.9%,29.4%,5.3%,0.3%,0.1%
No.45,鬼子来了,姜文,姜文、史建全、述平、尤凤伟,姜文、香川照之、袁丁、姜宏波、丛志军、李丛喜、泽田谦也、李海滨、蔡卫东、陈述、陈莲梅、史建全、陈强、宫路佳具、吴大维、梶冈润一、石山雄大、述平、姜武,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　第二次世界大战期间，中国河北挂甲台村的农民马大三（姜文饰）在日本人的统治下过着平静的生活。一个晚上，游击队绑架了日军陆军士兵花屋小三郎（香川照之饰）和翻译董汉臣，把他们捆绑塞入麻袋放在马大三家里，并吩咐马好好看管，几天后的大年三十来带人。马大三和村民战战兢兢地看守两人，花屋小三郎和董汉臣数次发出求救信号，皆被村民化解。半年过去了，村民们担心事情暴露，却又不敢把花屋等放了。
                                    
                                　　马大三最终被董汉臣说动，把花屋和董送到了日军宪兵队驻地，以换取粮食。日军宪兵军官酒冢猪吉是花屋的同乡。他表面上对马等人客气，但背后指责花屋让皇军蒙耻并殴打了他。宪兵队整队去马的村子里和村民联欢送粮，酒到酣时却乍露杀机。
                        ",9.3,670056,71.1%,24.1%,4.3%,0.3%,0.2%
No.46,少年派的奇幻漂流 Life of Pi,李安,扬·马特尔、大卫·麦基,苏拉·沙玛、伊尔凡·可汗、拉菲·斯波、阿迪勒·侯赛因、塔布、阿尤什·坦东、加塔姆·贝鲁尔、阿彦·汗、穆德·阿巴斯·卡勒里、维比什·希瓦库玛、热拉尔·德帕迪约、詹姆斯·斋藤、俊·奈托、安德里亚·迪·斯戴法诺、沙拉万提·塞纳特、王柏杰、柯一正、黄健玮,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.1,1419901,61.7%,31.3%,6.4%,0.4%,0.2%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.48,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,彼得·杰克逊,弗兰·威尔士、菲利帕·鲍恩斯、斯蒂芬·辛克莱、彼得·杰克逊、J.R.R.托尔金,伊利亚·伍德、西恩·奥斯汀、多米尼克·莫纳汉、奥兰多·布鲁姆、维果·莫腾森、伊恩·麦克莱恩、凯特·布兰切特、比利·博伊德、杰德·布罗菲、丽芙·泰勒、安迪·瑟金斯、米兰达·奥图、雨果·维文、布拉德·道里夫、卡卢姆·吉廷斯、伯纳德·希尔、布鲁斯·霍普金斯、克里斯托弗·李、纳撒尼尔·利斯、罗宾·马尔科姆、约翰·贝西、萨拉·贝克、克雷格·帕克、布鲁斯·菲利普斯、Robert Pollock、约翰·瑞斯-戴维斯、奥利维亚·田內、卡尔·厄本、史蒂芬·乌瑞、大卫·文翰、菲利普·格里夫、肖恩·宾、约翰·诺贝尔、Jarl Benzon、Jørn Benzon、Ben Britton、阿利斯泰尔·布朗宁、Sean Button、Robert Catto、罗德尼·库克、卡尔洛斯·德林克沃特、西奥沙福瓦、本·弗兰舍姆、Jonathan Harding、Lucas Hayward、丹·汉纳、保罗·霍姆斯、杰森·霍德、彼得·杰克逊、Sam Kelly、Sandro Kopp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.2,805029,66.8%,27.1%,5.6%,0.4%,0.1%
No.49,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇伟,刘镇伟、吴承恩,周星驰、吴孟达、罗家英、蓝洁瑛、莫文蔚、江约诚、陆树铭、刘镇伟、朱茵、李健仁、李宝龙,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　孙悟空（周星驰）护送唐三藏（罗家英）去西天取经路上，与牛魔王合谋欲杀害唐三藏，并偷走了月光宝盒，此举使观音萌生将其铲除心思，经唐三藏请求，孙悟空被判五百年后重新投胎做人赎其罪孽。
                                    
                                　　五百年后孙悟空化身强盗头头至尊宝。当遇见预谋吃唐僧肉的妖怪姐妹蜘蛛精春三十娘（蓝洁瑛）和白骨精白晶晶（莫文蔚）时，因为五百年前孙悟空曾与白晶晶有过一段恋情，至尊宝与她一见钟情，但因菩提老祖将二人妖怪身份相告，至尊宝仍带领众强盗开始与二妖展开周旋，过程中，白晶晶为救至尊宝打伤春三十娘，自己也中毒受伤，为了救白晶晶，至尊宝去找春三十娘，遭白晶晶误会，绝望自杀，至尊宝开始用月光宝盒以期使时光倒流。
                        ",9.0,1289271,60.5%,31.4%,7.3%,0.6%,0.2%
No.50,闻香识女人 Scent of a Woman,马丁·布莱斯特,博·古德曼、乔瓦尼·阿尔皮诺,阿尔·帕西诺、克里斯·奥唐纳、詹姆斯·瑞布霍恩、加布里埃尔·安瓦尔、菲利普·塞默·霍夫曼、理查德·文彻、布莱德利·惠特福德、罗谢尔·奥利弗、Margaret Eginton、Tom Riis Farrell、Nicholas Sadler、托德·路易斯、马特·史密斯、吉恩·坎菲尔德、弗兰西丝·康罗伊,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　查理（克里斯•奥唐纳 Chris O'Donnell  饰）是一个普通的中学生，他因为见证着一件恶作剧但又不想出卖朋友，于是面临着一道艰难的选择题——要么坦白，要么被学校勒退。而史法兰（阿尔•帕西诺 Al Pacino  饰）是一个退伍军官，因为意外失明，人生从顶点的辉煌滑落谷底。
                                    
                                　　自从两人的人生有了交集，命运的转折慢慢清晰。史法兰打算结束失去了意义的生活，于是在查理的陪伴下，尽情享受着人生最后一趟出行。他吃最美味的佳肴，买光鲜的汽车，在狭窄的街道上飚车，住在豪华的套房里，跟随陌生女子的袅袅香水味，跳一段优雅性感的探戈……极乐的疯狂后，他拿枪对准了自己的头颅。然而，查理声嘶力竭的劝阻改变了一切，曙光亦渐渐在这个老人心中重新升起，二人情深如父子。
                                    
                                　　史法兰在学校礼堂激昂演说，挽救了查理的前途，讽刺了学校的伪善。二人在互相鼓舞中得到重生。
                        ",9.1,955565,63.2%,30.1%,6.1%,0.5%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.55,黑客帝国 The Matrix,莉莉·沃卓斯基、拉娜·沃卓斯基,莉莉·沃卓斯基、拉娜·沃卓斯基,基努·里维斯、劳伦斯·菲什伯恩、凯瑞-安·莫斯、雨果·维文、格洛丽亚·福斯特、乔·潘托里亚诺、马库斯·钟、朱利安·阿拉汗加、马特·多兰、贝琳达·麦克洛里、安东尼·雷·帕克、罗伯特·泰勒、阿达·尼科德莫、罗温·维特、塔玛拉·布朗、纳塔莉·特珍、比尔·扬、克里斯·斯科特、纳许·埃哲顿,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　不久的将来，网络黑客尼奥（基奴李维斯 饰）对这个看似正常的现实世界产生了怀疑。他结识了黑客崔妮蒂（凯莉·安·摩丝 饰），并见到了黑客组织的首领墨菲斯（劳伦斯·菲什伯恩 饰）。墨菲斯告诉他，现实世界其实是由一个名叫“母体”的计算机人工智能系统控制，人们就像他们饲养的动物，没有自由和思想，而尼奥就是能够拯救人类的救世主。
                                    
                                　　可是，救赎之路从来都不会一帆风顺，到底哪里才是真实的世界？如何才能打败那些超人一样的特勤？尼奥是不是人类的希望？这是黑客的帝国，程序和代码欢迎大家的到来。.
                        ",9.1,891482,63.3%,29.8%,6.3%,0.5%,0.1%
No.56,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,弗兰·威尔士、菲利帕·鲍恩斯、彼得·杰克逊、J.R.R.托尔金,伊利亚·伍德、西恩·奥斯汀、伊恩·麦克莱恩、维果·莫腾森、奥兰多·布鲁姆、多米尼克·莫纳汉、比利·博伊德、克里斯托弗·李、马尔顿·索克斯、梅根·爱德华兹、伊安·霍姆、凯特·布兰切特、阿兰·霍华德、马克·弗格森、肖恩·宾、萨拉·贝克、劳伦斯·马克奥雷、安迪·瑟金斯、彼得·麦肯齐、伊恩·穆内、克雷格·帕克、卡梅隆·罗德、约翰·瑞斯-戴维斯、丽芙·泰勒、大卫·韦瑟莱、雨果·维文、菲利普·格里夫、威廉·约翰逊、伊丽莎白·穆迪、布莱恩·瑟金特、杰德·布罗菲、诺曼·凯茨、兰德尔·威廉·库克、萨比恩·克洛森、西奥沙福瓦、本·弗兰舍姆、彼得·杰克逊、艾伦·李,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.1,903256,63.7%,28.8%,6.8%,0.6%,0.2%
No.57,教父2 The Godfather: Part II,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉、马里奥·普佐,阿尔·帕西诺、罗伯特·杜瓦尔、黛安·基顿、罗伯特·德尼罗、约翰·凯泽尔、塔莉娅·夏尔、李·斯特拉斯伯格、迈克尔·V·格佐、G•D•斯普拉德林、理查德·布赖特、加斯通·莫辛、汤姆·罗斯奎、布鲁诺·柯比、弗兰克·西维罗、弗朗西丝卡·德·萨维奥、摩甘娜金、玛丽亚娜·希尔、莱奥波多·特里耶斯泰、多米尼克·查尼斯、Amerigo Tot、特洛伊·多纳休、约翰·阿普雷亚、乔·斯皮内尔、阿贝·维高达、吉亚尼·罗素、Maria Carta、菲伊·斯潘、哈利·戴恩·斯坦通、卡明·卡里迪、丹尼·爱罗、威廉·鲍尔斯、约瑟夫·德拉·索尔特、卡门·阿尔根齐亚诺、乔·罗·格里普、Ezio Flagello、凯瑟琳·贝勒、Saveria Mazzola、Tito Alba、彼得·多纳特、汤姆·达尔格伦、Phil Feldman、罗杰·科曼、伊凡·科尔、艾丽卡·约恩、Teresa Tirelli、詹姆斯·肯恩、Italia Coppola、罗曼·科波拉、索菲亚·科波拉、朱莉·格雷格、George Holmes、Buck Houghton、Shep Houghton、小杉正一、加里·库尔茨、Laura Lyons、理查德·麦瑟森、约翰·梅根纳、Harrison Ressler、Al Roberts、Hank Robinson、Filomena Spagnuolo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　迈克尔（阿尔·帕西诺 饰）是美利坚黑手党科利昂家族的头目。 迈克尔的父亲维托·安多里尼（罗伯特·德尼罗 饰）出生于意大利科利昂镇。1901年，维托的父亲安东尼奥、兄长保罗、母亲（玛丽亚·卡塔 饰）都死于黑手党西乔家族之手。9岁的维托只得漂洋过海逃亡美利坚谋生。入境时，海关官员（理查德·沃森 饰）将其名姓登记为维托·科利昂。 1958年，迈克尔为儿子安东尼（詹姆斯·古纳瑞斯 饰）举办了初领圣体的聚会，不想当晚便遭遇暗杀。迈克尔侥幸躲过一劫，两名杀手却被人灭口。 维托在异国他乡如何生存？他身负的血海深仇能否得报？想要迈克尔性命的是谁？将杀手灭口的又是谁？
                        ",9.3,595118,68.9%,26.1%,4.5%,0.3%,0.1%
No.58,天堂电影院 Nuovo Cinema Paradiso,朱塞佩·托纳多雷,朱塞佩·托纳多雷、瓦娜·波利,菲利普·努瓦雷、萨瓦特利·卡西欧、雅克·贝汉、马克·莱昂纳蒂、莱奥波多·特里耶斯泰、安东内拉·阿蒂利、恩佐·卡拉瓦勒、艾萨·丹尼埃利、里奥·故罗塔、普佩拉·玛奇奥、阿格妮丝·那诺、塔诺·希玛罗萨、尼古拉·迪·平托、罗伯塔·蕾娜、尼诺·戴罗佐、玛丽娜·朱迪切、比阿特丽斯·帕姆、布丽吉特·佛西、朱塞佩·托纳多雷,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                            
                            
                        ",9.2,710420,66.2%,27.9%,5.4%,0.4%,0.1%
No.59,狮子王 The Lion King,罗杰·阿勒斯、罗伯·明可夫,艾琳·梅琪、乔纳森·罗伯特 、琳达·伍尔芙顿,乔纳森·泰勒·托马斯、马修·布罗德里克、杰瑞米·艾恩斯、詹姆斯·厄尔·琼斯、莫伊拉·凯利、内森·连恩、尼基塔·卡兰姆、埃林·萨贝拉、乌比·戈德堡、罗温·艾金森,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　辛巴是狮子王国的小王子，他的父亲穆法沙是一个威严的国王。然而叔叔刀疤却对穆法沙的王位觊觎已久。
                                    
                                　　要想坐上王位宝座，刀疤必须除去小王子。于是，刀疤利用种种借口让辛巴外出，然后伺机大开杀戒，无奈被穆法沙即时来救。在反复的算计下，穆法沙惨死在刀疤手下，刀疤别有用心的劝辛巴离开，一方面派人将他赶尽杀绝。
                                    
                                　　辛巴逃亡中遇到了机智的丁满和善良的彭彭，他们抚养辛巴长成雄壮的大狮子，鼓励他回去森林复国。在接下来一场复国救民的斗争中，辛巴真正长成一个坚强的男子汉，领会了责任的真谛。
                        ",9.1,903448,61.5%,31.9%,6.2%,0.3%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
No.61,饮食男女 飲食男女,李安,李安、王蕙玲、詹姆斯·夏慕斯,郎雄、杨贵媚、吴倩莲、王渝文、张艾嘉、归亚蕾、赵文瑄、陈昭荣、陈捷文、卢金城、唐语谦、洪其德、王瑞、杜满生、王玨、陈妤、左正芬、许敬民、聂卓晶、丁仲,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"
                                　　台湾中国菜硕果仅存的大师老朱（郎雄）退休后，渐尝老年生活的诸多尴尬：每周日费心做出的一桌丰盛菜肴，并无将三个女儿（杨贵媚、吴倩莲、王渝文）齐齐拉到饭桌的吸引力，已经长大成人的她们，心里藏了许多比陪父亲吃饭更重要的事；多年老友的突然离世，令他在友情这块也有了缺口；而对厨师来讲最重要的味觉的丧失，则将其彻底推到人生的低谷。
                                    
                                　　三个女儿虽各忙各事，却也操心着老朱的晚年生活，计划着为其找个老伴，但她们没料到老朱早已悄无声息地谈起了“黄昏恋”。吃惊过后，老朱最看重的继承了他做菜天赋的二女儿家倩因为自身的生活经历，对父亲、她与父亲的关系有了新的认识，而对老朱来讲更大的惊喜，还在后面。
                        ",9.2,669032,64.2%,30.7%,4.7%,0.3%,0.1%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
